,dataset,checkpoint,id_median,ood_median,id_iqr,ood_iqr,noise_rate,ood_dataset,seed,scores_max,scores_min
0,cifar10,last*.ckpt,-0.024602413,-0.19443613,0.03269365429878235,0.17751863598823547,0.0,imagenet6_test,s0,-0.0058779716,-0.5664799
1,cifar10,last*.ckpt,-0.024602413,-0.2198304,0.03269365429878235,0.1468658149242401,0.0,mnist,s0,-0.0058779716,-0.5664799
2,cifar10,last*.ckpt,-0.024602413,-0.22967088,0.03269365429878235,0.14519181847572327,0.0,svhn,s0,-0.0058779716,-0.5664799
3,cifar10,last*.ckpt,-0.024602413,-0.21639097,0.03269365429878235,0.15484929084777832,0.0,texture,s0,-0.0058779716,-0.5664799
4,cifar10,last*.ckpt,-0.024602413,-0.18870938,0.03269365429878235,0.17042720317840576,0.0,food101,s0,-0.0058779716,-0.5664799
5,cifar10,last*.ckpt,-0.024602413,-0.21529174,0.03269365429878235,0.1661660373210907,0.0,stanfordproducts,s0,-0.0058779716,-0.5664799
6,cifar10,last*.ckpt,-0.024602413,-0.22849804,0.03269365429878235,0.1499982476234436,0.0,eurosat,s0,-0.0058779716,-0.5664799
7,cifar10,last*.ckpt,-0.023195565,-0.19161558,0.031998246908187866,0.1755141019821167,0.0,imagenet6_test,s2,-0.005956888,-0.6004268
8,cifar10,last*.ckpt,-0.023195565,-0.21547973,0.031998246908187866,0.16124361753463745,0.0,mnist,s2,-0.005956888,-0.6004268
9,cifar10,last*.ckpt,-0.023195565,-0.2284072,0.031998246908187866,0.15025368332862854,0.0,svhn,s2,-0.005956888,-0.6004268
10,cifar10,last*.ckpt,-0.023195565,-0.22724813,0.031998246908187866,0.16117778420448303,0.0,texture,s2,-0.005956888,-0.6004268
11,cifar10,last*.ckpt,-0.023195565,-0.20103192,0.031998246908187866,0.1761939525604248,0.0,food101,s2,-0.005956888,-0.6004268
12,cifar10,last*.ckpt,-0.023195565,-0.22103834,0.031998246908187866,0.17399147152900696,0.0,stanfordproducts,s2,-0.005956888,-0.6004268
13,cifar10,last*.ckpt,-0.023195565,-0.23676372,0.031998246908187866,0.14886021614074707,0.0,eurosat,s2,-0.005956888,-0.6004268
14,cifar10,last*.ckpt,-0.025430262,-0.20347863,0.03411957621574402,0.1691431701183319,0.0,imagenet6_test,s20,-0.0072398186,-0.5810684
15,cifar10,last*.ckpt,-0.025430262,-0.23140854,0.03411957621574402,0.14547598361968994,0.0,mnist,s20,-0.0072398186,-0.5810684
16,cifar10,last*.ckpt,-0.025430262,-0.20567185,0.03411957621574402,0.15357241034507751,0.0,svhn,s20,-0.0072398186,-0.5810684
17,cifar10,last*.ckpt,-0.025430262,-0.21130776,0.03411957621574402,0.15559008717536926,0.0,texture,s20,-0.0072398186,-0.5810684
18,cifar10,last*.ckpt,-0.025430262,-0.19336176,0.03411957621574402,0.17550170421600342,0.0,food101,s20,-0.0072398186,-0.5810684
19,cifar10,last*.ckpt,-0.025430262,-0.22159863,0.03411957621574402,0.16821125149726868,0.0,stanfordproducts,s20,-0.0072398186,-0.5810684
20,cifar10,last*.ckpt,-0.025430262,-0.24651879,0.03411957621574402,0.14580073952674866,0.0,eurosat,s20,-0.0072398186,-0.5810684
21,cifar10,best.ckpt,-0.02493751,-0.19663751,0.03297349810600281,0.177225261926651,0.0,imagenet6_test,s0,-0.006144047,-0.5651982
22,cifar10,best.ckpt,-0.02493751,-0.22346956,0.03297349810600281,0.14584124088287354,0.0,mnist,s0,-0.006144047,-0.5651982
23,cifar10,best.ckpt,-0.02493751,-0.22578436,0.03297349810600281,0.14632219076156616,0.0,svhn,s0,-0.006144047,-0.5651982
24,cifar10,best.ckpt,-0.02493751,-0.21621865,0.03297349810600281,0.1562790870666504,0.0,texture,s0,-0.006144047,-0.5651982
25,cifar10,best.ckpt,-0.02493751,-0.18588912,0.03297349810600281,0.16875946521759033,0.0,food101,s0,-0.006144047,-0.5651982
26,cifar10,best.ckpt,-0.02493751,-0.21317196,0.03297349810600281,0.16476982831954956,0.0,stanfordproducts,s0,-0.006144047,-0.5651982
27,cifar10,best.ckpt,-0.02493751,-0.22725224,0.03297349810600281,0.1516338586807251,0.0,eurosat,s0,-0.006144047,-0.5651982
28,cifar10,best.ckpt,-0.023195565,-0.19161558,0.031998246908187866,0.1755141019821167,0.0,imagenet6_test,s2,-0.005956888,-0.6004268
29,cifar10,best.ckpt,-0.023195565,-0.21547973,0.031998246908187866,0.16124361753463745,0.0,mnist,s2,-0.005956888,-0.6004268
30,cifar10,best.ckpt,-0.023195565,-0.2284072,0.031998246908187866,0.15025368332862854,0.0,svhn,s2,-0.005956888,-0.6004268
31,cifar10,best.ckpt,-0.023195565,-0.22724813,0.031998246908187866,0.16117778420448303,0.0,texture,s2,-0.005956888,-0.6004268
32,cifar10,best.ckpt,-0.023195565,-0.20103192,0.031998246908187866,0.1761939525604248,0.0,food101,s2,-0.005956888,-0.6004268
33,cifar10,best.ckpt,-0.023195565,-0.22103834,0.031998246908187866,0.17399147152900696,0.0,stanfordproducts,s2,-0.005956888,-0.6004268
34,cifar10,best.ckpt,-0.023195565,-0.23676372,0.031998246908187866,0.14886021614074707,0.0,eurosat,s2,-0.005956888,-0.6004268
