,dataset,checkpoint,id_median,ood_median,id_iqr,ood_iqr,noise_rate,ood_dataset,seed,scores_max,scores_min
0,cifar10,last*.ckpt,9.22221,5.861711,1.6351749897003174,2.889264464378357,0.0,imagenet6_test,s0,15.213912,1.1457111
1,cifar10,last*.ckpt,9.22221,4.7826643,1.6351749897003174,2.2272173166275024,0.0,mnist,s0,15.213912,1.1457111
2,cifar10,last*.ckpt,9.22221,4.9887023,1.6351749897003174,1.999493956565857,0.0,svhn,s0,15.213912,1.1457111
3,cifar10,last*.ckpt,9.22221,5.5335865,1.6351749897003174,2.541836142539978,0.0,texture,s0,15.213912,1.1457111
4,cifar10,last*.ckpt,9.22221,6.2203364,1.6351749897003174,2.917356014251709,0.0,food101,s0,15.213912,1.1457111
5,cifar10,last*.ckpt,9.22221,5.708018,1.6351749897003174,2.620116949081421,0.0,stanfordproducts,s0,15.213912,1.1457111
6,cifar10,last*.ckpt,9.22221,5.2526093,1.6351749897003174,2.2506535053253174,0.0,eurosat,s0,15.213912,1.1457111
7,cifar10,last*.ckpt,9.261091,5.795295,1.6064469814300537,2.932030200958252,0.0,imagenet6_test,s2,16.359123,1.1531363
8,cifar10,last*.ckpt,9.261091,4.9893513,1.6064469814300537,2.376746416091919,0.0,mnist,s2,16.359123,1.1531363
9,cifar10,last*.ckpt,9.261091,4.934353,1.6064469814300537,2.180396318435669,0.0,svhn,s2,16.359123,1.1531363
10,cifar10,last*.ckpt,9.261091,5.3267508,1.6064469814300537,2.5268439054489136,0.0,texture,s2,16.359123,1.1531363
11,cifar10,last*.ckpt,9.261091,5.785829,1.6064469814300537,2.7718076705932617,0.0,food101,s2,16.359123,1.1531363
12,cifar10,last*.ckpt,9.261091,5.4404726,1.6064469814300537,2.6509764194488525,0.0,stanfordproducts,s2,16.359123,1.1531363
13,cifar10,last*.ckpt,9.261091,4.944133,1.6064469814300537,2.382090210914612,0.0,eurosat,s2,16.359123,1.1531363
14,cifar10,last*.ckpt,9.224356,5.6679473,1.7397918701171875,2.8760677576065063,0.0,imagenet6_test,s20,15.593141,0.9328468
15,cifar10,last*.ckpt,9.224356,4.5890627,1.7397918701171875,2.11134672164917,0.0,mnist,s20,15.593141,0.9328468
16,cifar10,last*.ckpt,9.224356,5.2798033,1.7397918701171875,2.3776978254318237,0.0,svhn,s20,15.593141,0.9328468
17,cifar10,last*.ckpt,9.224356,5.537146,1.7397918701171875,2.711150288581848,0.0,texture,s20,15.593141,0.9328468
18,cifar10,last*.ckpt,9.224356,5.9225473,1.7397918701171875,2.901606559753418,0.0,food101,s20,15.593141,0.9328468
19,cifar10,last*.ckpt,9.224356,5.530628,1.7397918701171875,2.6750181913375854,0.0,stanfordproducts,s20,15.593141,0.9328468
20,cifar10,last*.ckpt,9.224356,4.952102,1.7397918701171875,2.255372405052185,0.0,eurosat,s20,15.593141,0.9328468
21,cifar10,best.ckpt,9.2342825,5.8862886,1.6452250480651855,2.8981964588165283,0.0,imagenet6_test,s0,15.644332,1.1569656
22,cifar10,best.ckpt,9.2342825,4.761265,1.6452250480651855,2.188990890979767,0.0,mnist,s0,15.644332,1.1569656
23,cifar10,best.ckpt,9.2342825,5.1520653,1.6452250480651855,2.062698721885681,0.0,svhn,s0,15.644332,1.1569656
24,cifar10,best.ckpt,9.2342825,5.6222143,1.6452250480651855,2.590780735015869,0.0,texture,s0,15.644332,1.1569656
25,cifar10,best.ckpt,9.2342825,6.3657303,1.6452250480651855,2.943480968475342,0.0,food101,s0,15.644332,1.1569656
26,cifar10,best.ckpt,9.2342825,5.7900534,1.6452250480651855,2.6668763160705566,0.0,stanfordproducts,s0,15.644332,1.1569656
27,cifar10,best.ckpt,9.2342825,5.3665323,1.6452250480651855,2.305853247642517,0.0,eurosat,s0,15.644332,1.1569656
28,cifar10,best.ckpt,9.261091,5.795295,1.6064469814300537,2.932030200958252,0.0,imagenet6_test,s2,16.359123,1.1531363
29,cifar10,best.ckpt,9.261091,4.9893513,1.6064469814300537,2.376746416091919,0.0,mnist,s2,16.359123,1.1531363
30,cifar10,best.ckpt,9.261091,4.934353,1.6064469814300537,2.180396318435669,0.0,svhn,s2,16.359123,1.1531363
31,cifar10,best.ckpt,9.261091,5.3267508,1.6064469814300537,2.5268439054489136,0.0,texture,s2,16.359123,1.1531363
32,cifar10,best.ckpt,9.261091,5.785829,1.6064469814300537,2.7718076705932617,0.0,food101,s2,16.359123,1.1531363
33,cifar10,best.ckpt,9.261091,5.4404726,1.6064469814300537,2.6509764194488525,0.0,stanfordproducts,s2,16.359123,1.1531363
34,cifar10,best.ckpt,9.261091,4.944133,1.6064469814300537,2.382090210914612,0.0,eurosat,s2,16.359123,1.1531363
35,cifar10,best.ckpt,9.210689,5.7286916,1.760915994644165,2.930470585823059,0.0,imagenet6_test,s20,15.738562,1.106478
36,cifar10,best.ckpt,9.210689,4.713834,1.760915994644165,2.1163734793663025,0.0,mnist,s20,15.738562,1.106478
37,cifar10,best.ckpt,9.210689,5.365599,1.760915994644165,2.393182158470154,0.0,svhn,s20,15.738562,1.106478
38,cifar10,best.ckpt,9.210689,5.6621733,1.760915994644165,2.737236261367798,0.0,texture,s20,15.738562,1.106478
39,cifar10,best.ckpt,9.210689,6.1387997,1.760915994644165,2.9515457153320312,0.0,food101,s20,15.738562,1.106478
40,cifar10,best.ckpt,9.210689,5.5458455,1.760915994644165,2.666208267211914,0.0,stanfordproducts,s20,15.738562,1.106478
41,cifar10,best.ckpt,9.210689,5.06921,1.760915994644165,2.2399548292160034,0.0,eurosat,s20,15.738562,1.106478
42,cifar10,last*.ckpt,17.363884,10.232735,4.433350563049316,5.092796087265015,0.0,imagenet6_test,s0,20.409956,1.5933516
43,cifar10,last*.ckpt,17.363884,9.663497,4.433350563049316,4.690776586532593,0.0,mnist,s0,20.409956,1.5933516
44,cifar10,last*.ckpt,17.363884,11.094732,4.433350563049316,3.757314920425415,0.0,svhn,s0,20.409956,1.5933516
45,cifar10,last*.ckpt,17.363884,8.878767,4.433350563049316,4.487583160400391,0.0,texture,s0,20.409956,1.5933516
46,cifar10,last*.ckpt,17.363884,9.959548,4.433350563049316,4.921926498413086,0.0,food101,s0,20.409956,1.5933516
47,cifar10,last*.ckpt,17.363884,9.586137,4.433350563049316,4.640512943267822,0.0,stanfordproducts,s0,20.409956,1.5933516
