,dataset,checkpoint,id_median,ood_median,id_iqr,ood_iqr,noise_rate,ood_dataset,seed,scores_max,scores_min
0,cifar10,last*.ckpt,3.3679504,-122.160706,17.135040283203125,131.7017364501953,0.0,imagenet6_test,s0,8.816284,-353.2162
1,cifar10,last*.ckpt,3.3679504,-138.755,17.135040283203125,90.9739990234375,0.0,mnist,s0,8.816284,-353.2162
2,cifar10,last*.ckpt,3.3679504,-140.17886,17.135040283203125,82.000244140625,0.0,svhn,s0,8.816284,-353.2162
3,cifar10,last*.ckpt,3.3679504,-141.39813,17.135040283203125,111.03616333007812,0.0,texture,s0,8.816284,-353.2162
4,cifar10,last*.ckpt,3.3679504,-120.11987,17.135040283203125,130.5670166015625,0.0,food101,s0,8.816284,-353.2162
5,cifar10,last*.ckpt,3.3679504,-138.02728,17.135040283203125,119.234130859375,0.0,stanfordproducts,s0,8.816284,-353.2162
6,cifar10,last*.ckpt,3.3679504,-147.48796,17.135040283203125,99.16838073730469,0.0,eurosat,s0,8.816284,-353.2162
7,cifar10,last*.ckpt,3.433731,-137.22458,17.32073211669922,141.83208465576172,0.0,imagenet6_test,s2,8.876938,-393.69592
8,cifar10,last*.ckpt,3.433731,-145.95392,17.32073211669922,115.03306579589844,0.0,mnist,s2,8.876938,-393.69592
9,cifar10,last*.ckpt,3.433731,-154.63165,17.32073211669922,108.39378356933594,0.0,svhn,s2,8.876938,-393.69592
10,cifar10,last*.ckpt,3.433731,-153.06842,17.32073211669922,123.96929931640625,0.0,texture,s2,8.876938,-393.69592
11,cifar10,last*.ckpt,3.433731,-134.9845,17.32073211669922,138.8861083984375,0.0,food101,s2,8.876938,-393.69592
12,cifar10,last*.ckpt,3.433731,-158.86713,17.32073211669922,130.80201721191406,0.0,stanfordproducts,s2,8.876938,-393.69592
13,cifar10,last*.ckpt,3.433731,-172.39331,17.32073211669922,117.73036193847656,0.0,eurosat,s2,8.876938,-393.69592
14,cifar10,last*.ckpt,3.2871704,-121.680664,17.394187927246094,119.55635070800781,0.0,imagenet6_test,s20,8.773102,-340.70947
15,cifar10,last*.ckpt,3.2871704,-134.67615,17.394187927246094,87.4603271484375,0.0,mnist,s20,8.773102,-340.70947
16,cifar10,last*.ckpt,3.2871704,-119.90964,17.394187927246094,89.88450622558594,0.0,svhn,s20,8.773102,-340.70947
17,cifar10,last*.ckpt,3.2871704,-133.74731,17.394187927246094,107.94680786132812,0.0,texture,s20,8.773102,-340.70947
18,cifar10,last*.ckpt,3.2871704,-121.34442,17.394187927246094,125.53082275390625,0.0,food101,s20,8.773102,-340.70947
19,cifar10,last*.ckpt,3.2871704,-137.66357,17.394187927246094,114.14317321777344,0.0,stanfordproducts,s20,8.773102,-340.70947
20,cifar10,last*.ckpt,3.2871704,-149.57736,17.394187927246094,97.34854125976562,0.0,eurosat,s20,8.773102,-340.70947
21,cifar10,best.ckpt,3.377594,-122.052734,17.044708251953125,128.74966430664062,0.0,imagenet6_test,s0,8.892029,-350.89392
22,cifar10,best.ckpt,3.377594,-138.81271,17.044708251953125,90.2220458984375,0.0,mnist,s0,8.892029,-350.89392
23,cifar10,best.ckpt,3.377594,-137.3424,17.044708251953125,82.51606750488281,0.0,svhn,s0,8.892029,-350.89392
24,cifar10,best.ckpt,3.377594,-140.40274,17.044708251953125,111.57646179199219,0.0,texture,s0,8.892029,-350.89392
25,cifar10,best.ckpt,3.377594,-117.947205,17.044708251953125,128.8494873046875,0.0,food101,s0,8.892029,-350.89392
26,cifar10,best.ckpt,3.377594,-136.07283,17.044708251953125,116.15998840332031,0.0,stanfordproducts,s0,8.892029,-350.89392
27,cifar10,best.ckpt,3.377594,-144.74548,17.044708251953125,99.0747299194336,0.0,eurosat,s0,8.892029,-350.89392
28,cifar10,best.ckpt,3.433731,-137.22458,17.32073211669922,141.83208465576172,0.0,imagenet6_test,s2,8.876938,-393.69592
29,cifar10,best.ckpt,3.433731,-145.95392,17.32073211669922,115.03306579589844,0.0,mnist,s2,8.876938,-393.69592
30,cifar10,best.ckpt,3.433731,-154.63165,17.32073211669922,108.39378356933594,0.0,svhn,s2,8.876938,-393.69592
31,cifar10,best.ckpt,3.433731,-153.06842,17.32073211669922,123.96929931640625,0.0,texture,s2,8.876938,-393.69592
32,cifar10,best.ckpt,3.433731,-134.9845,17.32073211669922,138.8861083984375,0.0,food101,s2,8.876938,-393.69592
33,cifar10,best.ckpt,3.433731,-158.86713,17.32073211669922,130.80201721191406,0.0,stanfordproducts,s2,8.876938,-393.69592
34,cifar10,best.ckpt,3.433731,-172.39331,17.32073211669922,117.73036193847656,0.0,eurosat,s2,8.876938,-393.69592
35,cifar10,best.ckpt,3.3510895,-120.518616,17.677040100097656,120.10429382324219,0.0,imagenet6_test,s20,8.794037,-333.41162
36,cifar10,best.ckpt,3.3510895,-131.34976,17.677040100097656,88.48796081542969,0.0,mnist,s20,8.794037,-333.41162
37,cifar10,best.ckpt,3.3510895,-119.80209,17.677040100097656,90.5120849609375,0.0,svhn,s20,8.794037,-333.41162
38,cifar10,best.ckpt,3.3510895,-130.59412,17.677040100097656,106.48472595214844,0.0,texture,s20,8.794037,-333.41162
39,cifar10,best.ckpt,3.3510895,-116.92883,17.677040100097656,124.32296752929688,0.0,food101,s20,8.794037,-333.41162
40,cifar10,best.ckpt,3.3510895,-137.97849,17.677040100097656,114.60818481445312,0.0,stanfordproducts,s20,8.794037,-333.41162
41,cifar10,best.ckpt,3.3510895,-146.94757,17.677040100097656,97.62239074707031,0.0,eurosat,s20,8.794037,-333.41162
42,cifar10,last*.ckpt,0.69496155,-73.0777,31.217491149902344,67.41171264648438,0.0,imagenet6_test,s0,8.666832,-222.30444
43,cifar10,last*.ckpt,0.69496155,-81.03693,31.217491149902344,67.607666015625,0.0,mnist,s0,8.666832,-222.30444
44,cifar10,last*.ckpt,0.69496155,-46.424316,31.217491149902344,52.00990295410156,0.0,svhn,s0,8.666832,-222.30444
45,cifar10,last*.ckpt,0.69496155,-81.14343,31.217491149902344,62.459228515625,0.0,texture,s0,8.666832,-222.30444
46,cifar10,last*.ckpt,0.69496155,-73.83948,31.217491149902344,69.4486083984375,0.0,food101,s0,8.666832,-222.30444
47,cifar10,last*.ckpt,0.69496155,-81.253204,31.217491149902344,67.55470275878906,0.0,stanfordproducts,s0,8.666832,-222.30444
48,cifar10,last*.ckpt,0.69496155,-79.878296,31.217491149902344,40.94886779785156,0.0,eurosat,s0,8.666832,-222.30444
49,cifar10,last*.ckpt,0.5024719,-58.72238,25.799169540405273,51.118186950683594,0.0,imagenet6_test,s2,8.765068,-161.58826
50,cifar10,last*.ckpt,0.5024719,-54.669617,25.799169540405273,46.291595458984375,0.0,mnist,s2,8.765068,-161.58826
51,cifar10,last*.ckpt,0.5024719,-47.59198,25.799169540405273,41.39515686035156,0.0,svhn,s2,8.765068,-161.58826
52,cifar10,last*.ckpt,0.5024719,-71.55408,25.799169540405273,47.995361328125,0.0,texture,s2,8.765068,-161.58826
53,cifar10,last*.ckpt,0.5024719,-59.19153,25.799169540405273,51.38134765625,0.0,food101,s2,8.765068,-161.58826
54,cifar10,last*.ckpt,0.5024719,-66.953705,25.799169540405273,50.81809997558594,0.0,stanfordproducts,s2,8.765068,-161.58826
55,cifar10,last*.ckpt,0.5024719,-78.30063,25.799169540405273,40.661529541015625,0.0,eurosat,s2,8.765068,-161.58826
56,cifar10,last*.ckpt,0.38131714,-57.379883,26.654804229736328,50.62841796875,0.0,imagenet6_test,s20,8.682137,-172.0846
57,cifar10,last*.ckpt,0.38131714,-62.657806,26.654804229736328,45.77037048339844,0.0,mnist,s20,8.682137,-172.0846
58,cifar10,last*.ckpt,0.38131714,-39.93506,26.654804229736328,40.25006103515625,0.0,svhn,s20,8.682137,-172.0846
59,cifar10,last*.ckpt,0.38131714,-60.30246,26.654804229736328,45.173004150390625,0.0,texture,s20,8.682137,-172.0846
60,cifar10,last*.ckpt,0.38131714,-53.61389,26.654804229736328,48.8089599609375,0.0,food101,s20,8.682137,-172.0846
61,cifar10,last*.ckpt,0.38131714,-64.29668,26.654804229736328,50.79679870605469,0.0,stanfordproducts,s20,8.682137,-172.0846
62,cifar10,last*.ckpt,0.38131714,-72.79593,26.654804229736328,33.099334716796875,0.0,eurosat,s20,8.682137,-172.0846
63,cifar10,best.ckpt,0.49847412,-65.85626,30.69059467315674,63.78594970703125,0.0,imagenet6_test,s0,8.70594,-214.60449
64,cifar10,best.ckpt,0.49847412,-72.131714,30.69059467315674,59.87762451171875,0.0,mnist,s0,8.70594,-214.60449
65,cifar10,best.ckpt,0.49847412,-42.21176,30.69059467315674,47.00318908691406,0.0,svhn,s0,8.70594,-214.60449
66,cifar10,best.ckpt,0.49847412,-74.68909,30.69059467315674,56.49005126953125,0.0,texture,s0,8.70594,-214.60449
67,cifar10,best.ckpt,0.49847412,-67.06409,30.69059467315674,63.698974609375,0.0,food101,s0,8.70594,-214.60449
68,cifar10,best.ckpt,0.49847412,-75.17352,30.69059467315674,60.51762390136719,0.0,stanfordproducts,s0,8.70594,-214.60449
69,cifar10,best.ckpt,0.49847412,-78.78052,30.69059467315674,37.995330810546875,0.0,eurosat,s0,8.70594,-214.60449
70,cifar10,best.ckpt,0.56627655,-58.50763,25.666046142578125,50.120201110839844,0.0,imagenet6_test,s2,8.772903,-164.66406
